ano_pesquisa,senioridade,faixa_salarial,qtd
2025,Especialista/Staff+,de R$ 12.001/mês a R$ 16.000/mês,91
2025,Especialista/Staff+,de R$ 16.001/mês a R$ 20.000/mês,80
2025,Especialista/Staff+,de R$ 8.001/mês a R$ 12.000/mês,47
2025,Especialista/Staff+,de R$ 20.001/mês a R$ 25.000/mês,45
2025,Especialista/Staff+,de R$ 30.001/mês a R$ 40.000/mês,29
2025,Especialista/Staff+,Acima de R$ 40.001/mês,24
2025,Especialista/Staff+,de R$ 25.001/mês a R$ 30.000/mês,23
2025,Especialista/Staff+,de R$ 6.001/mês a R$ 8.000/mês,8
2025,Especialista/Staff+,de R$ 4.001/mês a R$ 6.000/mês,2
2025,Júnior,de R$ 4.001/mês a R$ 6.000/mês,122
2025,Júnior,de R$ 1.001/mês a R$ 2.000/mês,100
2025,Júnior,de R$ 2.001/mês a R$ 3.000/mês,98
2025,Júnior,de R$ 3.001/mês a R$ 4.000/mês,88
2025,Júnior,de R$ 6.001/mês a R$ 8.000/mês,47
2025,Júnior,de R$ 8.001/mês a R$ 12.000/mês,38
2025,Júnior,Menos de R$ 1.000/mês,17
2025,Júnior,de R$ 12.001/mês a R$ 16.000/mês,7
2025,Júnior,de R$ 20.001/mês a R$ 25.000/mês,1
2025,Pleno,de R$ 8.001/mês a R$ 12.000/mês,254
2025,Pleno,de R$ 6.001/mês a R$ 8.000/mês,194
2025,Pleno,de R$ 4.001/mês a R$ 6.000/mês,162
2025,Pleno,de R$ 12.001/mês a R$ 16.000/mês,63
2025,Pleno,de R$ 3.001/mês a R$ 4.000/mês,49
2025,Pleno,de R$ 2.001/mês a R$ 3.000/mês,20
2025,Pleno,de R$ 1.001/mês a R$ 2.000/mês,11
2025,Pleno,de R$ 16.001/mês a R$ 20.000/mês,7
2025,Pleno,de R$ 30.001/mês a R$ 40.000/mês,5
2025,Pleno,de R$ 20.001/mês a R$ 25.000/mês,5
2025,Pleno,de R$ 25.001/mês a R$ 30.000/mês,4
2025,Pleno,Acima de R$ 40.001/mês,2
2025,Sênior,de R$ 8.001/mês a R$ 12.000/mês,278
2025,Sênior,de R$ 12.001/mês a R$ 16.000/mês,202
2025,Sênior,de R$ 16.001/mês a R$ 20.000/mês,117
2025,Sênior,de R$ 6.001/mês a R$ 8.000/mês,79
2025,Sênior,de R$ 20.001/mês a R$ 25.000/mês,47
2025,Sênior,de R$ 4.001/mês a R$ 6.000/mês,34
2025,Sênior,de R$ 25.001/mês a R$ 30.000/mês,31
2025,Sênior,Acima de R$ 40.001/mês,26
2025,Sênior,de R$ 30.001/mês a R$ 40.000/mês,24
2025,Sênior,de R$ 3.001/mês a R$ 4.000/mês,11
2025,Sênior,de R$ 2.001/mês a R$ 3.000/mês,6
2025,Sênior,de R$ 1.001/mês a R$ 2.000/mês,3
2025,,,267
2025,,de R$ 12.001/mês a R$ 16.000/mês,121
2025,,de R$ 16.001/mês a R$ 20.000/mês,119
2025,,de R$ 20.001/mês a R$ 25.000/mês,115
2025,,de R$ 8.001/mês a R$ 12.000/mês,91
2025,,de R$ 25.001/mês a R$ 30.000/mês,76
2025,,Acima de R$ 40.001/mês,63
2025,,de R$ 30.001/mês a R$ 40.000/mês,56
2025,,de R$ 6.001/mês a R$ 8.000/mês,39
2025,,de R$ 4.001/mês a R$ 6.000/mês,24
2025,,de R$ 3.001/mês a R$ 4.000/mês,9
2025,,de R$ 2.001/mês a R$ 3.000/mês,6
2025,,Menos de R$ 1.000/mês,4
2025,,de R$ 1.001/mês a R$ 2.000/mês,3
2025,,de R$ 25.001/mês a R$ 3000/mês,1
