ano_pesquisa,usa_ia_padrao,qtd,pct_no_ano
2023,Usa - versão gratuita,2219,58.8
2023,Não usa IA,744,19.7
2023,Usa - copilot/código,319,8.5
2023,Usa - paga do bolso,252,6.7
2023,Usa - empresa paga,238,6.3
2024,Usa - versão gratuita,1629,45.0
2024,Usa - empresa paga,695,19.2
2024,Usa - copilot/código,537,14.8
2024,Usa - paga do bolso,521,14.4
2024,Não usa IA,237,6.5
2025,Usa - empresa paga,892,42.4
2025,Usa - paga do bolso,472,22.4
2025,Usa - versão gratuita,460,21.8
2025,Usa - copilot/código,238,11.3
2025,Não usa IA,44,2.1
