regiao,senioridade,qtd
Centro-oeste,,61
Centro-oeste,Sênior,60
Centro-oeste,Pleno,53
Centro-oeste,Júnior,40
Centro-oeste,Especialista/Staff+,17
Nordeste,,114
Nordeste,Pleno,94
Nordeste,Sênior,86
Nordeste,Júnior,69
Nordeste,Especialista/Staff+,17
Norte,,16
Norte,Sênior,12
Norte,Pleno,10
Norte,Júnior,7
Norte,Especialista/Staff+,3
Sudeste,,624
Sudeste,Sênior,526
Sudeste,Pleno,464
Sudeste,Júnior,312
Sudeste,Especialista/Staff+,245
Sul,Sênior,140
Sul,Pleno,135
Sul,,127
Sul,Júnior,82
Sul,Especialista/Staff+,56
